,y_lo,y_hi,h_lo,h_hi,result
0,12.0,12.1,10.0,11.0,unsafe
1,12.0,12.1,11.0,12.0,unsafe
2,12.0,12.1,12.0,13.0,unsafe
3,12.0,12.1,13.0,14.0,unsafe
4,12.0,12.1,14.0,15.0,unsafe
5,12.0,12.1,15.0,16.0,unsafe
6,12.0,12.1,16.0,17.0,unsafe
7,12.0,12.1,17.0,18.0,unsafe
8,12.0,12.1,18.0,19.0,unsafe
9,12.0,12.1,19.0,20.0,unsafe
10,12.0,12.1,20.0,21.0,unsafe
11,12.0,12.1,21.0,22.0,unsafe
12,12.0,12.1,22.0,23.0,unsafe
13,12.0,12.1,23.0,24.0,unsafe
14,12.0,12.1,24.0,25.0,unsafe
15,12.0,12.1,25.0,26.0,unsafe
16,12.0,12.1,26.0,27.0,unsafe
17,12.0,12.1,27.0,28.0,unsafe
18,12.0,12.1,28.0,29.0,unsafe
19,12.0,12.1,29.0,30.0,unsafe
20,12.1,12.2,10.0,11.0,unsafe
21,12.1,12.2,11.0,12.0,unsafe
22,12.1,12.2,12.0,13.0,unsafe
23,12.1,12.2,13.0,14.0,unsafe
24,12.1,12.2,14.0,15.0,unsafe
25,12.1,12.2,15.0,16.0,unsafe
26,12.1,12.2,16.0,17.0,unsafe
27,12.1,12.2,17.0,18.0,unsafe
28,12.1,12.2,18.0,19.0,unsafe
29,12.1,12.2,19.0,20.0,unsafe
30,12.1,12.2,20.0,21.0,unsafe
31,12.1,12.2,21.0,22.0,unsafe
32,12.1,12.2,22.0,23.0,unsafe
33,12.1,12.2,23.0,24.0,unsafe
34,12.1,12.2,24.0,25.0,unsafe
35,12.1,12.2,25.0,26.0,unsafe
36,12.1,12.2,26.0,27.0,unsafe
37,12.1,12.2,27.0,28.0,unsafe
38,12.1,12.2,28.0,29.0,unsafe
39,12.1,12.2,29.0,30.0,unsafe
40,12.2,12.3,10.0,11.0,unsafe
41,12.2,12.3,11.0,12.0,unsafe
42,12.2,12.3,12.0,13.0,unsafe
43,12.2,12.3,13.0,14.0,unsafe
44,12.2,12.3,14.0,15.0,unsafe
45,12.2,12.3,15.0,16.0,unsafe
46,12.2,12.3,16.0,17.0,unsafe
47,12.2,12.3,17.0,18.0,unsafe
48,12.2,12.3,18.0,19.0,unsafe
49,12.2,12.3,19.0,20.0,unsafe
50,12.2,12.3,20.0,21.0,unsafe
51,12.2,12.3,21.0,22.0,unsafe
52,12.2,12.3,22.0,23.0,unsafe
53,12.2,12.3,23.0,24.0,unsafe
54,12.2,12.3,24.0,25.0,unsafe
55,12.2,12.3,25.0,26.0,unsafe
56,12.2,12.3,26.0,27.0,unsafe
57,12.2,12.3,27.0,28.0,unsafe
58,12.2,12.3,28.0,29.0,unsafe
59,12.2,12.3,29.0,30.0,unsafe
60,12.3,12.4,10.0,11.0,unsafe
61,12.3,12.4,11.0,12.0,unsafe
62,12.3,12.4,12.0,13.0,unsafe
63,12.3,12.4,13.0,14.0,unsafe
64,12.3,12.4,14.0,15.0,unsafe
65,12.3,12.4,15.0,16.0,unsafe
66,12.3,12.4,16.0,17.0,unsafe
67,12.3,12.4,17.0,18.0,unsafe
68,12.3,12.4,18.0,19.0,unsafe
69,12.3,12.4,19.0,20.0,unsafe
70,12.3,12.4,20.0,21.0,unsafe
71,12.3,12.4,21.0,22.0,unsafe
72,12.3,12.4,22.0,23.0,unsafe
73,12.3,12.4,23.0,24.0,unsafe
74,12.3,12.4,24.0,25.0,unsafe
75,12.3,12.4,25.0,26.0,unsafe
76,12.3,12.4,26.0,27.0,unsafe
77,12.3,12.4,27.0,28.0,unsafe
78,12.3,12.4,28.0,29.0,unsafe
79,12.3,12.4,29.0,30.0,unsafe
80,12.4,12.5,10.0,11.0,unsafe
81,12.4,12.5,11.0,12.0,unsafe
82,12.4,12.5,12.0,13.0,unsafe
83,12.4,12.5,13.0,14.0,unsafe
84,12.4,12.5,14.0,15.0,unsafe
85,12.4,12.5,15.0,16.0,unsafe
86,12.4,12.5,16.0,17.0,unsafe
87,12.4,12.5,17.0,18.0,unsafe
88,12.4,12.5,18.0,19.0,unsafe
89,12.4,12.5,19.0,20.0,unsafe
90,12.4,12.5,20.0,21.0,unsafe
91,12.4,12.5,21.0,22.0,unsafe
92,12.4,12.5,22.0,23.0,unsafe
93,12.4,12.5,23.0,24.0,unsafe
94,12.4,12.5,24.0,25.0,unsafe
95,12.4,12.5,25.0,26.0,unsafe
96,12.4,12.5,26.0,27.0,unsafe
97,12.4,12.5,27.0,28.0,unsafe
98,12.4,12.5,28.0,29.0,unsafe
99,12.4,12.5,29.0,30.0,unsafe
100,12.5,12.6,10.0,11.0,unsafe
101,12.5,12.6,11.0,12.0,unsafe
102,12.5,12.6,12.0,13.0,unsafe
103,12.5,12.6,13.0,14.0,unsafe
104,12.5,12.6,14.0,15.0,unsafe
105,12.5,12.6,15.0,16.0,unsafe
106,12.5,12.6,16.0,17.0,unsafe
107,12.5,12.6,17.0,18.0,unsafe
108,12.5,12.6,18.0,19.0,unsafe
109,12.5,12.6,19.0,20.0,unsafe
110,12.5,12.6,20.0,21.0,unsafe
